Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price
Ford,Puma,1.4,Diesel,1994,157846,2517
BMW,X3,2.0,Diesel,1999,311477,1220
BMW,X3,3.0,Diesel,2004,46905,18888
Toyota,Matrix,1.4,Hybrid,1985,226031,955
Ford,Puma,1.8,Diesel,1995,168255,2796
Toyota,Matrix,1.0,Hybrid,2009,45632,16417
Ford,Puma,2.0,Petrol,1986,201886,1152
Nissan,Murano,2.0,Diesel,2003,74907,11875
Toyota,Matrix,1.8,Hybrid,1992,86338,5423
Nissan,Altima,2.0,Petrol,2004,83006,9175
Nissan,Juke,1.2,Petrol,2001,169046,2514
Toyota,Corolla,2.2,Hybrid,2020,12544,72007
Nissan,Murano,2.0,Diesel,2018,29283,42969
Nissan,Altima,2.0,Diesel,2018,27272,34875
Ford,Focus,1.8,Diesel,2016,44276,28554
Toyota,Corolla,2.0,Hybrid,1999,140487,7117
Ford,Fiesta,1.2,Hybrid,2004,94459,5910
Nissan,Altima,1.2,Petrol,2006,81765,8191
Nissan,Juke,1.2,Petrol,2016,61359,15417
Nissan,Murano,1.6,Diesel,2011,47481,21628
Nissan,Altima,2.0,Petrol,2005,68973,10791
Ford,Puma,2.0,Petrol,1996,80459,5916
Ford,Fiesta,1.4,Petrol,2000,96302,4021
Ford,Puma,1.6,Diesel,2008,130269,8551
Nissan,Juke,1.4,Petrol,2016,57857,17033
Ford,Focus,1.0,Diesel,2013,39975,17883
Ford,Puma,1.6,Hybrid,1988,286637,649
Ford,Fiesta,1.2,Petrol,1993,123225,1907
Nissan,Altima,1.6,Petrol,1992,198228,1470
Toyota,Matrix,1.4,Hybrid,1993,225250,1639
Toyota,Matrix,1.0,Hybrid,2016,55213,24662
BMW,Z4,3.0,Petrol,2015,66881,31398
Toyota,Yaris,1.4,Hybrid,1995,74399,4880
Toyota,Corolla,2.0,Petrol,2007,128312,11136
Nissan,Altima,2.0,Diesel,2004,112843,7756
Nissan,Juke,2.0,Diesel,1993,125190,2855
Toyota,Yaris,1.2,Hybrid,1990,210815,1088
Nissan,Altima,1.6,Hybrid,2001,72654,8655
Toyota,Yaris,1.4,Hybrid,2008,89499,10454
BMW,X3,2.4,Diesel,2019,21687,53220
Ford,Focus,1.8,Hybrid,1986,171158,1727
Ford,Fiesta,1.2,Petrol,2006,52586,7467
Nissan,Altima,1.2,Petrol,2008,118008,7182
Toyota,Yaris,1.4,Hybrid,2019,33233,31341
Toyota,Corolla,2.4,Hybrid,2014,54685,39433
Toyota,Yaris,1.0,Hybrid,2008,117926,7163
Nissan,Murano,1.6,Diesel,1995,61675,6803
Toyota,Yaris,1.4,Petrol,1984,402879,106
Nissan,Murano,1.6,Petrol,2001,99906,7422
Toyota,Yaris,1.4,Petrol,2019,26425,27158
Ford,Focus,1.0,Petrol,2008,62164,10623
Nissan,Altima,1.2,Petrol,2001,223992,1843
Ford,Focus,2.0,Diesel,2005,176290,5412
Ford,Focus,2.0,Petrol,1995,194245,2266
Toyota,Corolla,2.2,Hybrid,2000,157983,6917
Ford,Fiesta,1.2,Diesel,1998,112387,3037
BMW,Z4,2.2,Petrol,2010,85329,16990
Nissan,Altima,1.2,Petrol,1996,165340,2205
Ford,Fiesta,1.2,Petrol,2011,89563,8134
Porsche,911,2.6,Petrol,1989,265853,2129
BMW,Z4,2.2,Petrol,1993,197758,2226
Nissan,Murano,1.6,Diesel,2021,14624,50918
Toyota,Matrix,1.0,Hybrid,2000,96549,6406
Nissan,Altima,1.2,Petrol,2005,74495,8054
Nissan,Altima,1.4,Diesel,2014,49699,19557
Nissan,Murano,1.6,Diesel,2006,102409,10678
Porsche,Cayenne,4.0,Petrol,1998,120803,11350
Toyota,Corolla,2.4,Hybrid,1996,89878,9372
Ford,Focus,1.6,Petrol,1996,95247,4810
Nissan,Murano,1.4,Diesel,1995,154193,3200
Toyota,Corolla,2.0,Hybrid,2002,125467,9790
Porsche,Cayenne,2.6,Petrol,2000,195766,5623
Ford,Fiesta,1.2,Petrol,2002,157810,2633
Nissan,Altima,1.8,Petrol,1992,129525,2768
BMW,Z4,2.2,Petrol,2008,73743,16104
Nissan,Altima,1.2,Hybrid,2021,10155,41407
Ford,Fiesta,1.0,Petrol,1990,264580,418
Nissan,Juke,1.4,Petrol,2000,185419,2209
Ford,Focus,1.4,Petrol,2019,11468,35306
Porsche,Cayenne,4.0,Diesel,2019,18978,95101
Toyota,Yaris,1.4,Hybrid,2000,162782,3470
Ford,Puma,1.4,Diesel,1988,217281,1008
Ford,Fiesta,1.4,Petrol,1995,141656,2035
Ford,Focus,2.0,Petrol,2002,136234,5875
Ford,Puma,1.4,Diesel,2006,99044,8871
Toyota,Matrix,1.4,Hybrid,2020,17433,47604
Ford,Focus,1.0,Petrol,2007,100167,7640
BMW,Z4,2.4,Petrol,2019,28673,46411
BMW,X3,3.0,Diesel,1994,171368,3847
Nissan,Juke,1.4,Petrol,1989,222610,763
Toyota,Corolla,1.8,Hybrid,1989,266199,1148
Ford,Puma,1.8,Diesel,2000,168079,3908
Nissan,Juke,2.0,Petrol,1998,80305,5280
Porsche,911,2.6,Petrol,2012,99772,40594
Porsche,Cayenne,4.0,Petrol,2003,143459,13246
Toyota,Yaris,1.0,Petrol,2014,45506,14698
Ford,Fiesta,1.2,Petrol,2020,20346,22969
Toyota,Matrix,1.4,Hybrid,2006,81661,12567
Ford,Focus,1.4,Diesel,1999,151119,3747
Ford,Fiesta,1.2,Petrol,2017,31608,17647
Nissan,Murano,1.4,Diesel,2012,56522,20434
Toyota,Yaris,1.2,Petrol,1996,65865,4261
Ford,Puma,1.6,Diesel,2014,17201,27286
Porsche,718 Cayman,4.0,Petrol,2000,152359,8519
Nissan,Juke,1.2,Petrol,1995,232428,964
Porsche,Cayenne,3.5,Diesel,1995,117905,9332
Porsche,718 Cayman,4.0,Petrol,1988,163314,3495
Nissan,Juke,2.0,Petrol,1990,68138,3363
Nissan,Murano,1.8,Petrol,2020,17830,47291
Ford,Focus,2.0,Petrol,1989,113451,2948
Porsche,Cayenne,3.0,Diesel,1992,164221,4876
Nissan,Altima,1.2,Petrol,2003,147107,4089
Porsche,718 Cayman,4.0,Petrol,2014,52569,44982
Ford,Fiesta,1.2,Diesel,2000,99587,3816
Toyota,Corolla,2.0,Hybrid,1996,234830,2579
Ford,Fiesta,1.4,Petrol,2001,153237,2763
Ford,Focus,2.0,Petrol,2010,94939,13708
BMW,M5,4.4,Petrol,1988,238677,2816
Ford,Fiesta,1.2,Petrol,1993,96433,2332
Toyota,Corolla,2.2,Petrol,2014,42950,33835
Toyota,Yaris,1.2,Petrol,2004,91038,6110
Nissan,Juke,2.0,Petrol,2000,111269,4824
Toyota,Corolla,2.2,Hybrid,2001,46658,16685
Nissan,Altima,1.2,Petrol,2013,47849,16318
Toyota,Matrix,1.4,Hybrid,2020,16387,47874
Toyota,Matrix,1.0,Hybrid,2013,61809,19354
Nissan,Juke,2.0,Petrol,2017,36427,24831
Ford,Fiesta,1.4,Petrol,2018,31792,20353
Toyota,Corolla,2.2,Hybrid,2011,76684,26742
Ford,Focus,2.0,Hybrid,1990,366117,389
Ford,Fiesta,1.0,Petrol,1997,39937,4043
Porsche,911,2.6,Petrol,1989,188515,4286
Ford,Fiesta,1.0,Diesel,1999,165935,1931
Toyota,Matrix,1.8,Hybrid,1987,252292,972
Ford,Focus,1.4,Hybrid,2009,86889,13635
Ford,Puma,1.8,Diesel,1993,79855,4845
BMW,X3,3.0,Diesel,2012,71379,27505
Nissan,Altima,1.8,Petrol,2014,79467,17374
Ford,Puma,1.6,Diesel,1995,128014,3658
Nissan,Juke,1.2,Petrol,2018,56283,18201
BMW,X3,2.4,Diesel,1997,115186,6610
Porsche,Cayenne,3.0,Petrol,1993,172154,4643
BMW,M5,4.4,Petrol,1991,134361,8455
Nissan,Altima,1.2,Diesel,1988,45025,3292
Ford,Fiesta,1.0,Petrol,2011,99377,6919
Ford,Focus,1.6,Petrol,2003,94690,7702
Nissan,Juke,1.6,Petrol,2012,74707,12479
Nissan,Murano,1.4,Petrol,1990,207231,1385
Toyota,Yaris,1.2,Hybrid,1995,194380,1756
Nissan,Murano,2.0,Petrol,2012,70177,21275
Nissan,Altima,1.2,Diesel,1989,308781,394
Nissan,Altima,1.8,Diesel,2016,14453,31078
Ford,Puma,1.8,Hybrid,1998,116338,5928
Ford,Focus,1.0,Petrol,1996,148322,2526
BMW,X3,2.4,Diesel,2000,166448,5351
Nissan,Juke,1.2,Petrol,1994,101691,2689
Nissan,Altima,1.4,Hybrid,1994,170182,2402
Nissan,Juke,1.0,Petrol,1996,205978,1194
Toyota,Corolla,2.4,Petrol,1987,206738,1664
Nissan,Murano,2.0,Diesel,2018,15420,46409
Ford,Focus,2.0,Petrol,1996,75718,6168
Nissan,Murano,1.8,Diesel,2022,7579,59916
Ford,Focus,1.0,Petrol,2005,101685,6612
Ford,Focus,1.6,Petrol,2009,83965,12399
Ford,Focus,1.6,Petrol,2001,131872,5089
Toyota,Corolla,2.0,Hybrid,2017,20015,53986
Nissan,Murano,2.0,Diesel,2004,113440,9622
Ford,Fiesta,1.2,Petrol,2009,104284,6398
Ford,Focus,1.0,Diesel,2003,120626,5269
BMW,M5,5.0,Petrol,2018,47227,101214
Porsche,911,2.6,Petrol,2016,25712,85794
Nissan,Juke,1.6,Petrol,2012,44976,15117
Nissan,Murano,1.4,Diesel,1985,302390,432
Toyota,Matrix,1.4,Hybrid,1993,144921,3277
Ford,Fiesta,1.2,Diesel,2007,60753,7956
Nissan,Altima,1.2,Hybrid,1995,252086,1147
BMW,Z4,2.4,Petrol,1987,142867,2478
Ford,Puma,2.0,Diesel,2007,99218,11320
Toyota,Corolla,1.8,Hybrid,1990,106441,4823
Nissan,Altima,1.4,Petrol,2013,50005,17391
Ford,Focus,1.6,Petrol,1991,109651,3100
Ford,Puma,1.8,Diesel,2015,57043,24441
Toyota,Matrix,1.4,Hybrid,1985,295757,499
Nissan,Murano,2.0,Diesel,2005,91015,12130
BMW,M5,4.0,Petrol,2018,27542,101723
Toyota,Yaris,1.0,Hybrid,2007,71366,9369
Nissan,Juke,1.4,Petrol,2015,53982,16332
Nissan,Juke,1.0,Petrol,2018,34090,19028
BMW,Z4,2.0,Petrol,2013,66749,22456
Toyota,Yaris,1.2,Petrol,2011,66083,11566
Nissan,Juke,1.0,Petrol,1998,246598,944
Ford,Fiesta,1.2,Petrol,2011,71196,9235
Ford,Fiesta,1.0,Petrol,1992,126248,1591
Ford,Fiesta,1.4,Diesel,2009,31145,11772
BMW,Z4,2.4,Petrol,2018,30795,42893
Toyota,Corolla,2.0,Petrol,1997,209447,2888
Ford,Fiesta,1.0,Petrol,2008,49412,7945
Ford,Puma,1.6,Diesel,2013,66109,19014
Nissan,Juke,1.6,Petrol,2007,123858,6250
Toyota,Yaris,1.2,Petrol,2009,124386,6651
Nissan,Altima,1.2,Petrol,1991,273345,600
Ford,Puma,1.6,Diesel,2018,38218,31611
Nissan,Murano,1.6,Diesel,2021,8101,52703
Ford,Fiesta,1.0,Petrol,2013,92224,8325
Nissan,Juke,1.6,Petrol,2022,4227,37008
Nissan,Murano,1.8,Diesel,1990,173136,2218
Nissan,Altima,1.6,Petrol,2017,50466,24204
Nissan,Murano,1.8,Diesel,2019,27487,44023
Ford,Puma,1.6,Diesel,2010,61741,16019
Toyota,Corolla,2.0,Hybrid,2019,34180,56923
Ford,Fiesta,1.0,Petrol,2001,184583,1793
BMW,X3,3.0,Petrol,1990,223481,1776
Ford,Puma,1.6,Diesel,1988,189322,1380
Nissan,Juke,2.0,Petrol,2003,156073,4133
Ford,Fiesta,1.0,Petrol,2004,214446,1683
Nissan,Murano,2.0,Diesel,2018,24730,44093
Toyota,Corolla,2.2,Hybrid,2001,172367,6554
Nissan,Altima,1.4,Petrol,2012,77618,13581
BMW,X3,2.4,Petrol,2000,196539,3935
Ford,Puma,1.6,Petrol,2010,63898,15043
Nissan,Altima,1.2,Hybrid,2006,65702,10957
Ford,Fiesta,1.4,Petrol,1991,115002,1921
Ford,Puma,1.6,Diesel,1994,104060,4107
Nissan,Altima,1.4,Diesel,2008,131028,7362
Toyota,Yaris,1.0,Petrol,1995,166653,1695
Ford,Puma,2.0,Diesel,2015,76772,22613
Ford,Puma,1.4,Diesel,2021,8450,42642
Toyota,Corolla,2.2,Hybrid,1994,188499,3578
Nissan,Juke,1.6,Petrol,2022,4500,36956
Ford,Fiesta,1.0,Diesel,1993,203521,935
Toyota,Yaris,1.4,Hybrid,2007,98791,9148
Nissan,Murano,1.6,Petrol,1994,214466,1812
Porsche,718 Cayman,2.0,Petrol,1996,153399,4574
Ford,Focus,1.6,Petrol,2020,21844,38141
Ford,Puma,2.0,Diesel,2008,109795,11189
Toyota,Corolla,2.0,Hybrid,2005,88554,15737
Nissan,Juke,1.2,Petrol,2009,77439,8685
BMW,Z4,3.0,Petrol,1993,237525,1819
Ford,Focus,1.4,Diesel,1992,228850,1197
Nissan,Altima,1.6,Petrol,2003,123548,5694
Toyota,Yaris,1.2,Petrol,2016,48353,18078
Porsche,Cayenne,3.5,Petrol,2018,46281,67637
Toyota,Corolla,2.4,Hybrid,2014,56043,39094
Ford,Puma,1.4,Diesel,2019,26118,33905
BMW,Z4,2.0,Petrol,2019,23055,43732
Nissan,Murano,1.8,Petrol,2015,39726,29900
Porsche,911,2.6,Petrol,2008,122202,26267
Ford,Fiesta,1.2,Petrol,1998,215438,1225
Nissan,Juke,1.4,Petrol,1992,175722,1408
Ford,Focus,1.4,Petrol,1994,173631,2119
Porsche,Cayenne,4.0,Petrol,2017,50043,66089
Toyota,Matrix,1.4,Hybrid,2008,68616,15690
Toyota,Matrix,1.0,Hybrid,2009,64184,14596
Ford,Focus,1.4,Petrol,2017,44614,25583
Nissan,Murano,1.8,Diesel,1997,246835,1837
Ford,Focus,1.0,Petrol,2000,201738,2093
Ford,Fiesta,1.2,Petrol,2011,48896,10665
Nissan,Juke,1.4,Petrol,2011,87990,9960
Nissan,Altima,1.4,Petrol,2018,40096,25786
BMW,M5,4.4,Petrol,1994,171032,7642
Ford,Puma,2.0,Hybrid,1999,176536,4100
BMW,Z4,2.2,Petrol,1985,252049,799
Nissan,Altima,1.8,Diesel,2003,10000,13376
BMW,X3,3.0,Diesel,2009,106417,17570
Ford,Fiesta,1.2,Petrol,2000,94561,3770
Nissan,Murano,2.0,Petrol,2004,108090,9540
BMW,X3,3.0,Diesel,1997,148534,5682
Ford,Focus,2.0,Petrol,2007,77134,12719
BMW,X3,2.0,Diesel,2017,32573,39971
